date,price
1/1/11,0.3
1/2/11,0.3
1/3/11,0.3
1/4/11,0.3
1/5/11,0.3
1/6/11,0.3
1/7/11,0.3
1/8/11,0.3
1/9/11,0.3
1/10/11,0.3
1/11/11,0.3
1/12/11,0.3
1/13/11,0.3
1/14/11,0.4
1/15/11,0.4
1/16/11,0.4
1/17/11,0.3
1/18/11,0.3
1/19/11,0.3
1/20/11,0.4
1/21/11,0.4
1/22/11,0.4
1/23/11,0.4
1/24/11,0.4
1/25/11,0.4
1/26/11,0.4
1/27/11,0.4
1/28/11,0.4
1/29/11,0.4
1/30/11,0.5
1/31/11,0.5
2/1/11,0.7
2/2/11,0.7
2/3/11,0.7
2/4/11,0.8
2/5/11,0.9
2/6/11,0.9
2/7/11,0.9
2/8/11,0.9
2/9/11,1.1
2/10/11,1
2/11/11,1.1
2/12/11,1.1
2/13/11,1
2/14/11,1.1
2/15/11,1
2/16/11,1
2/17/11,1
2/18/11,0.9
2/19/11,0.9
2/20/11,0.9
2/21/11,0.8
2/22/11,0.9
2/23/11,0.9
2/24/11,1
2/25/11,0.9
2/26/11,1
2/27/11,0.9
2/28/11,0.9
3/1/11,0.9
3/2/11,0.9
3/3/11,0.9
3/4/11,0.9
3/5/11,0.9
3/6/11,0.9
3/7/11,0.9
3/8/11,0.9
3/9/11,0.9
3/10/11,0.9
3/11/11,0.9
3/12/11,0.9
3/13/11,0.9
3/14/11,0.9
3/15/11,0.9
3/16/11,0.9
3/17/11,0.8
3/18/11,0.8
3/19/11,0.8
3/20/11,0.7
3/21/11,0.8
3/22/11,0.8
3/23/11,0.8
3/24/11,0.9
3/25/11,0.9
3/26/11,0.9
3/27/11,0.8
3/28/11,0.8
3/29/11,0.8
3/30/11,0.8
3/31/11,0.8
4/1/11,0.8
4/2/11,0.8
4/3/11,0.8
4/4/11,0.7
4/5/11,0.7
4/6/11,0.7
4/7/11,0.8
4/8/11,0.8
4/9/11,0.7
4/10/11,0.7
4/11/11,0.8
4/12/11,0.9
4/13/11,0.9
4/14/11,1
4/15/11,1
4/16/11,1
4/17/11,1.1
4/18/11,1.2
4/19/11,1.2
4/20/11,1.1
4/21/11,1.2
4/22/11,1.4
4/23/11,1.7
4/24/11,1.6
4/25/11,1.6
4/26/11,1.8
4/27/11,1.9
